
Politechnika Wrocławska
Rok akademicki;2020/2021
Typ kalendarza;dwusemestralny
Semestr;Letni
Kod grupy;E07-19x
Kod kursu;INEK00033L
Nazwa kursu;Systemy operacyjne 2
Termin;śr/TX+1/2 7:30-9:00
Prowadzący;Mgr inż.  Szymon Datko
# Wszystkie poniższe imiona pochodzą z generatora, zbieżności są przypadkowe:
# https://random-data-generator.com/generator-losowych-imion-i-nazwisk/
Lp.;Nr albumu;Nazwisko;Imiona;Rok;Semestr;Przedmiot kształcenia;Ocena (np. 3.0);Data (RRRR-MM-DD);Komentarz
1;_018123456;Adamska;Felicja Marta;3;6;PO-W04-INF-INT- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
2;_018123457;Adamski;Jakub Adrian;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
3;_013123458;Baran;Maja Zofia;3;6;PO-W04-INF-INS- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
4;_018123459;Błaszczyk;Joanna ;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
5;_018123460;Czerwiński;Mateusz Tomasz;3;6;PO-W04-INF-ISK- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
6;_016123461;Gajewski;Eustachy Kleofas;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
7;_018123462;Kaczmarczyk;Alojzy ;3;6;PO-W04-INF-INT- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
8;_017123463;Kamińska;Eliza Maria;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
9;_017123464;Kamiński;Arkadiusz Dawid;3;6;PO-W04-INF-ISK- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
10;_018123465;Kamiński;Dariusz Cezary;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
11;_018123466;Malinowska;Aleksandra Zuzanna;2;3;PO-W04-INF- - -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
12;_018123467;Malinowski;Ludwik Wiktor;3;6;PO-W04-INF-INT- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
13;_017123468;Mazur;Ewelina Patrycja;3;6;PO-W04-INF-ISK- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
14;_018123469;Pawlak;Ewelina Edyta;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
15;_018123470;Tomaszewska;Lila ;3;6;PO-W04-INF-ISK- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
16;_018123471;Wasilewski;Fabian Adam;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
17;_018123472;Witkowski;Artur Łukasz;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;
18;_018123473;Wojciechowska;Anita Weronika;3;6;PO-W04-INF-IGM- -ST-Ii-WRO-ITT- - - - -PWR1-DWU;;;;

